apartment_id,price,date,room_type,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,neighbourhood,district,latitude,longitude,host_id,host_since,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,wifi,tv,coffe_machine,dishwasher,terrace,bathtub,check_in_24h
92496,59,2020-02-29,Apartment,3,1,1,$50.00,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51065,13.46717,5986022,2013-04-18,within a day,100%,FALSE,0,100,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
35802,199,2019-05-26,Serviced apartment,10,3,4.5,$0.00,54,Neukölln,Neukölln,52.48143,13.43568,231768189,2018-12-21,within an hour,100%,FALSE,6,100,9,10,10,10,9,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
68860,95,2019-02-24,Loft,5,2,1,$49.00,35,Prenzlauer Berg,Pankow,52.55363,13.4028,232551293,2018-12-26,within an hour,100%,TRUE,1,96,10,10,10,10,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
37849,25,2019-04-30,House,2,1,2,$30.00,45,Wedding,Mitte,52.54338,13.37563,808956,2011-07-12,within a day,90%,FALSE,2,100,10,8,10,10,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83316,250,2019-01-01,Apartment,8,1,1,$50.00,53,Prenzlauer Berg,Pankow,52.53202,13.42556,232691796,2018-12-27,within an hour,91%,TRUE,1,99,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
24438,89,2019-01-27,Apartment,2,1,1,$40.00,66,Neukölln,Neukölln,52.48159,13.4342,7689466,2013-07-24,within an hour,100%,TRUE,2,98,10,10,10,10,10,9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
79654,60,2019-01-03,Apartment,2,1,1,$20.00,7,Neukölln,Neukölln,52.47856,13.42207,187451083,2018-05-02,within an hour,100%,FALSE,1,92,10,9,9,10,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30524,145,2019-01-01,Apartment,4,2,2,$40.00,0,Mitte,Mitte,52.51058,13.40824,39443802,2015-07-24,within a few hours,100%,FALSE,1,100,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
90261,70,2019-06-05,Apartment,4,1,1,$50.00,64,Wannsee,Steglitz - Zehlendorf,52.42507,13.16224,222154123,2018-10-23,within an hour,100%,FALSE,5,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
41790,69,2019-03-08,Apartment,2,0,1,$29.00,81,Prenzlauer Berg,Pankow,52.53582,13.41084,2470260,2012-05-26,within an hour,100%,TRUE,1,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
